TARGET_PERIOD,period_dt,actual,full_gcsr,bates_granger_mv,var_error,cov_only,recent_best,graph_only,equal,median,rs_selection,bates_granger,mult_tilt
2016-05-01,2016-05-01,9.4,10.547266238797183,10.631766675401629,10.691635659980419,10.584931157450256,10.3,10.304044790906238,10.594096219736365,10.7,10.3,10.59714338631859,10.58314328868078
2016-08-01,2016-08-01,9.1,10.202807627167635,10.496075084486392,10.326401777220486,10.422964902696162,10.4,10.022885377011535,10.4381489017,10.5,10.2746379187,10.436010380452771,10.40584031080721
2016-11-01,2016-11-01,9.0,10.128176162753004,10.198931097050886,10.066534223550693,10.152112167776824,10.1,10.10915269384907,10.12809090909091,10.1,10.1,10.132714399766163,10.149975068803705
2017-02-01,2017-02-01,8.6,9.889977190681297,9.87359278330516,9.836194231776842,9.884420646979454,9.9475,9.787382204975973,9.874790909090908,9.88,9.9,9.876038686780314,9.884420647743493
2017-05-01,2017-05-01,8.4,9.75007660875654,9.67448296011823,9.83876610267206,9.737946824594651,9.8,9.729740319936237,9.788341834281818,9.8,9.7,9.78546120256446,9.737946825348828
2017-08-01,2017-08-01,8.2,9.699999999029998,9.546512194380448,9.627999580448481,9.606814215722043,9.6,9.699220515381906,9.665652526172728,9.7,9.7,9.661200408517454,9.687653327141778
2017-11-01,2017-11-01,7.9,9.417386476906268,9.417653504783711,9.398329107878103,9.4173367020352,9.4075,9.400508766699613,9.402283085852728,9.4075,9.4,9.408287262033216,9.417336702557947
2018-02-01,2018-02-01,7.7,8.991776265353312,9.033051940035108,8.732291214064416,8.991906297798987,9.1,8.835635187945911,8.98027121679091,9.0,8.7,8.978990856793521,8.991906298321268
2018-05-01,2018-05-01,7.4,8.74885771576436,8.885274846909775,8.656999999134301,8.87044999195223,8.657,8.648676029741367,8.780860424281817,8.8,8.5,8.78660239474544,8.869225825516482
2018-08-01,2018-08-01,7.2,8.09999999919,8.50116210561924,8.232010335569012,8.512717139180953,8.5495,8.288104458539767,8.545338864509091,8.6,8.1,8.542991814001873,8.500858324434104
2018-11-01,2018-11-01,7.1,7.999999999199999,8.175707366909784,8.052628164288476,8.180036442418885,8.0,7.998965733204928,8.150796612809092,8.1,8.0,8.151161004196819,8.176231590070222
2019-02-01,2019-02-01,7.0,7.89999999921,7.942571123548059,7.882013362721544,7.950025136511844,7.9,7.88986529741635,7.9541382971590915,7.90334168435,7.7,7.9710103708764555,7.949634266507612
2019-05-01,2019-05-01,6.8,7.999999999199998,7.9636475718780515,7.8122944517303,7.984934690317379,8.0,7.939825029157677,7.939665734318182,8.0,8.0,7.9599986242300815,7.9257483002099995
2019-08-01,2019-08-01,6.7,7.528800452844654,7.761261806399507,7.5116864697786045,7.796857493565309,8.0,7.520771479187575,7.775298159836364,7.8,7.5,7.796293293797004,7.796086719763726
2019-11-01,2019-11-01,6.7,7.59999999924,7.607642343064256,7.6227460003339385,7.619108603907895,7.5,7.600912604401342,7.6210395701163645,7.64574141028,7.6,7.623674802726219,7.616862290708421
2020-02-01,2020-02-01,6.6,7.531326945802291,7.746212892225653,7.599999999239999,7.734209084588141,7.6,7.475496857476824,7.6464585990963645,7.671160439259999,7.3,7.667977318805978,7.733641319139749
2020-05-01,2020-05-01,7.0,7.2718481436259275,7.670755180236963,7.447371017780713,7.615822830945494,7.3,7.398079913052794,7.469326344674141,7.422867745577777,7.3,7.4936685498957925,7.610758349070961
2020-08-01,2020-08-01,7.8,7.440454330657571,7.415304631231868,7.4665716408706615,7.422476569674455,7.2,7.440117707842667,7.416989700996364,7.4,7.5,7.4244434511498065,7.4233158115759625
2020-11-01,2020-11-01,7.4,7.393104941456099,7.433204355847586,7.34500554802839,7.395710882603904,7.3,7.447948099808242,7.359727192240808,7.342737491244444,7.3,7.368233046284811,7.395710883150336
